0417182848
Bag = 1 , Depth = 1792 , Pressure = 2.54082 , Temperature = 18.5882
Bag = 2 , Depth = 1798 , Pressure = 2.54833 , Temperature = 18.7836
Bag = 3 , Depth = 1789 , Pressure = 2.53643 , Temperature = 20.9331
Bag = 4 , Depth = 1777 , Pressure = 2.51951 , Temperature = 21.0308
Bag = 5 , Depth = 1786 , Pressure = 2.53157 , Temperature = 20.4446
Bag = 6 , Depth = 1779 , Pressure = 2.5211 , Temperature = 20.8354
Bag = 7 , Depth = 1791 , Pressure = 2.53882 , Temperature = 20.5423
Bag = 8 , Depth = 1783 , Pressure = 2.52731 , Temperature = 21.1285
Bag = 9 , Depth = 1778 , Pressure = 2.52073 , Temperature = 24.255
Bag = 10 , Depth = 1785 , Pressure = 2.52989 , Temperature = 20.64
Bag = 11 , Depth = 1780 , Pressure = 2.52306 , Temperature = 20.5423
Bag = 12 , Depth = 1781 , Pressure = 2.52434 , Temperature = 20.3468
Bag = 13 , Depth = 1779 , Pressure = 2.52163 , Temperature = 20.64
Bag = 14 , Depth = 1792 , Pressure = 2.54084 , Temperature = 20.2491
Bag = 15 , Depth = 1781 , Pressure = 2.52459 , Temperature = 20.3468
Bag = 16 , Depth = 1784 , Pressure = 2.52821 , Temperature = 20.5423
Bag = 17 , Depth = 1780 , Pressure = 2.5234 , Temperature = 20.1514
Bag = 18 , Depth = 1791 , Pressure = 2.53849 , Temperature = 20.9331
Bag = 19 , Depth = 1795 , Pressure = 2.54431 , Temperature = 21.0308
Bag = 20 , Depth = 1791 , Pressure = 2.53847 , Temperature = 21.4216
Bag = 21 , Depth = 1794 , Pressure = 2.54263 , Temperature = 20.9331
Bag = 22 , Depth = 1787 , Pressure = 2.53323 , Temperature = 20.3468
Bag = 23 , Depth = 1796 , Pressure = 2.54515 , Temperature = 20.4446
Bag = 24 , Depth = 1830 , Pressure = 2.59403 , Temperature = 21.8124
Bag = 25 , Depth = 1775 , Pressure = 2.51646 , Temperature = 20.5423
Bag = 26 , Depth = 1922 , Pressure = 2.72473 , Temperature = 20.9331
Bag = 27 , Depth = 1784 , Pressure = 2.52873 , Temperature = 21.3239
Bag = 28 , Depth = 1809 , Pressure = 2.56434 , Temperature = 21.3239
Bag = 29 , Depth = 1798 , Pressure = 2.54906 , Temperature = 20.8354
Bag = 30 , Depth = 1793 , Pressure = 2.54129 , Temperature = 20.7377
Bag = 31 , Depth = 1784 , Pressure = 2.52815 , Temperature = 21.1285
Bag = 32 , Depth = 1788 , Pressure = 2.53382 , Temperature = 21.2262
Bag = 33 , Depth = 1798 , Pressure = 2.54932 , Temperature = 23.8642
Bag = 34 , Depth = 1779 , Pressure = 2.52193 , Temperature = 20.9331
Bag = 35 , Depth = 1797 , Pressure = 2.54702 , Temperature = 19.7606
Bag = 36 , Depth = 1789 , Pressure = 2.53614 , Temperature = 19.8583
Bag = 37 , Depth = 1791 , Pressure = 2.53901 , Temperature = 20.7377
Bag = 38 , Depth = 1786 , Pressure = 2.53233 , Temperature = 21.1285
Bag = 39 , Depth = 1786 , Pressure = 2.53183 , Temperature = 20.8354
Bag = 40 , Depth = 1796 , Pressure = 2.54553 , Temperature = 20.5423
Bag = 41 , Depth = 1792 , Pressure = 2.54067 , Temperature = 20.4446
Bag = 42 , Depth = 1799 , Pressure = 2.54997 , Temperature = 20.2491
Bag = 43 , Depth = 1776 , Pressure = 2.51703 , Temperature = 20.8354
Bag = 44 , Depth = 1790 , Pressure = 2.53786 , Temperature = 19.956
