0417195041
Bag = 1 , Depth = 1833.42 , Temperature = 18.3928
Bag = 2 , Depth = 1837.29 , Temperature = 18.6273
Bag = 3 , Depth = 1832.72 , Temperature = 20.9331
Bag = 4 , Depth = 1841.71 , Temperature = 21.0308
Bag = 5 , Depth = 1816.93 , Temperature = 20.5423
Bag = 6 , Depth = 1845.59 , Temperature = 20.9331
Bag = 7 , Depth = 1822.44 , Temperature = 20.5423
Bag = 8 , Depth = 1843.18 , Temperature = 21.0308
Bag = 9 , Depth = 1821.38 , Temperature = 24.3527
Bag = 10 , Depth = 1827.62 , Temperature = 20.7377
Bag = 11 , Depth = 1838.87 , Temperature = 20.4739
Bag = 12 , Depth = 1845.54 , Temperature = 20.3322
Bag = 13 , Depth = 1822.71 , Temperature = 20.8354
Bag = 14 , Depth = 1826.75 , Temperature = 20.3468
Bag = 15 , Depth = 1841.39 , Temperature = 20.3468
Bag = 16 , Depth = 1822.56 , Temperature = 20.4446
Bag = 17 , Depth = 1822.28 , Temperature = 20.3468
Bag = 18 , Depth = 1830.97 , Temperature = 21.1285
Bag = 19 , Depth = 1831.62 , Temperature = 21.0308
Bag = 20 , Depth = 1829.02 , Temperature = 21.3239
Bag = 21 , Depth = 1830.49 , Temperature = 21.1285
Bag = 22 , Depth = 1845.12 , Temperature = 20.5423
Bag = 23 , Depth = 1820.61 , Temperature = 20.7377
Bag = 24 , Depth = 1844.53 , Temperature = 21.7147
Bag = 25 , Depth = 1832.57 , Temperature = 20.5423
Bag = 26 , Depth = 1913.88 , Temperature = 20.8354
Bag = 27 , Depth = 1820.84 , Temperature = 21.2262
Bag = 28 , Depth = 1842.41 , Temperature = 21.2262
Bag = 29 , Depth = 1832.06 , Temperature = 20.7377
Bag = 30 , Depth = 1830.6 , Temperature = 20.64
Bag = 31 , Depth = 1819.84 , Temperature = 20.9331
Bag = 32 , Depth = 1820.93 , Temperature = 21.0308
Bag = 33 , Depth = 1832.72 , Temperature = 23.8642
Bag = 34 , Depth = 1840.91 , Temperature = 20.8354
Bag = 35 , Depth = 1831.98 , Temperature = 19.4675
Bag = 36 , Depth = 1822.75 , Temperature = 19.7606
Bag = 37 , Depth = 1827 , Temperature = 20.7377
Bag = 38 , Depth = 1822.24 , Temperature = 21.0308
Bag = 39 , Depth = 1825.04 , Temperature = 20.7377
Bag = 40 , Depth = 1831.31 , Temperature = 20.4446
Bag = 41 , Depth = 1833.95 , Temperature = 20.3468
Bag = 42 , Depth = 1836.32 , Temperature = 20.1514
Bag = 43 , Depth = 1837.73 , Temperature = 20.64
Bag = 44 , Depth = 1818.41 , Temperature = 19.7606
Bag = 45 , Depth = 1827.93 , Temperature = 19.7606
Bag = 46 , Depth = 1831.62 , Temperature = 20.0537
Bag = 47 , Depth = 1821.09 , Temperature = 20.0537
Bag = 48 , Depth = 1842.71 , Temperature = 20.1514
Bag = 49 , Depth = 1819.44 , Temperature = 18.979
Bag = 50 , Depth = 1837.45 , Temperature = 18.7836
0417195047
Bag = 1 , Depth = 1830.42 , Temperature = 18.3928
Bag = 2 , Depth = 1838.58 , Temperature = 18.6859
Bag = 3 , Depth = 1829.82 , Temperature = 20.9331
Bag = 4 , Depth = 1841.42 , Temperature = 21.0308
Bag = 5 , Depth = 1821.25 , Temperature = 20.5423
Bag = 6 , Depth = 1842.88 , Temperature = 20.8354
Bag = 7 , Depth = 1824.22 , Temperature = 20.5423
Bag = 8 , Depth = 1846.77 , Temperature = 21.0308
Bag = 9 , Depth = 1816.37 , Temperature = 24.3527
Bag = 10 , Depth = 1826.69 , Temperature = 20.7377
Bag = 11 , Depth = 1838.95 , Temperature = 20.4446
Bag = 12 , Depth = 1844.54 , Temperature = 20.2491
Bag = 13 , Depth = 1819.11 , Temperature = 20.8354
Bag = 14 , Depth = 1827.68 , Temperature = 20.3468
Bag = 15 , Depth = 1841.15 , Temperature = 20.3468
Bag = 16 , Depth = 1822.35 , Temperature = 20.4446
Bag = 17 , Depth = 1822.56 , Temperature = 20.3468
Bag = 18 , Depth = 1827.37 , Temperature = 21.1285
Bag = 19 , Depth = 1829.48 , Temperature = 21.0308
Bag = 20 , Depth = 1827.65 , Temperature = 21.3239
Bag = 21 , Depth = 1830.04 , Temperature = 21.2262
Bag = 22 , Depth = 1841.47 , Temperature = 20.5423
Bag = 23 , Depth = 1817.61 , Temperature = 20.7377
Bag = 24 , Depth = 1846.06 , Temperature = 21.7147
Bag = 25 , Depth = 1833.83 , Temperature = 20.5423
Bag = 26 , Depth = 1914.29 , Temperature = 20.8354
Bag = 27 , Depth = 1819.42 , Temperature = 21.2262
Bag = 28 , Depth = 1842.01 , Temperature = 21.2262
Bag = 29 , Depth = 1835.21 , Temperature = 20.7377
Bag = 30 , Depth = 1831.2 , Temperature = 20.64
Bag = 31 , Depth = 1816.85 , Temperature = 20.9331
Bag = 32 , Depth = 1820.18 , Temperature = 21.0308
Bag = 33 , Depth = 1831.4 , Temperature = 23.8642
Bag = 34 , Depth = 1840.14 , Temperature = 20.8354
