0417192844
Bag = 1 , Depth = 1273472 , Pressure = 1804.65 , Temperature = 18.4905
Bag = 2 , Depth = 1275581 , Pressure = 1807.63 , Temperature = 18.7836
Bag = 3 , Depth = 1290293 , Pressure = 1828.48 , Temperature = 20.8354
Bag = 4 , Depth = 1276493 , Pressure = 1808.93 , Temperature = 20.9331
Bag = 5 , Depth = 1285820 , Pressure = 1822.14 , Temperature = 20.5423
Bag = 6 , Depth = 1275353 , Pressure = 1807.31 , Temperature = 20.8354
Bag = 7 , Depth = 1284291 , Pressure = 1819.98 , Temperature = 20.4446
Bag = 8 , Depth = 1278943 , Pressure = 1812.4 , Temperature = 20.9331
Bag = 9 , Depth = 1283664 , Pressure = 1819.09 , Temperature = 24.3527
Bag = 10 , Depth = 1283645 , Pressure = 1819.06 , Temperature = 20.64
Bag = 11 , Depth = 1278563 , Pressure = 1811.86 , Temperature = 20.3468
Bag = 12 , Depth = 1281451 , Pressure = 1815.95 , Temperature = 20.1514
Bag = 13 , Depth = 1278981 , Pressure = 1812.45 , Temperature = 20.7377
Bag = 14 , Depth = 1288128 , Pressure = 1825.41 , Temperature = 20.3468
Bag = 15 , Depth = 1280282 , Pressure = 1814.3 , Temperature = 20.2491
Bag = 16 , Depth = 1284784 , Pressure = 1820.68 , Temperature = 20.3468
Bag = 17 , Depth = 1283464 , Pressure = 1818.81 , Temperature = 20.3468
Bag = 18 , Depth = 1289372 , Pressure = 1827.18 , Temperature = 21.1285
Bag = 19 , Depth = 1270442 , Pressure = 1800.35 , Temperature = 21.0308
Bag = 20 , Depth = 1288137 , Pressure = 1825.43 , Temperature = 21.3239
Bag = 21 , Depth = 1288774 , Pressure = 1826.33 , Temperature = 21.2262
Bag = 22 , Depth = 1282799 , Pressure = 1817.86 , Temperature = 20.4446
Bag = 23 , Depth = 1278316 , Pressure = 1811.51 , Temperature = 20.7377
Bag = 24 , Depth = 1298936 , Pressure = 1840.73 , Temperature = 21.7147
Bag = 25 , Depth = 1277965 , Pressure = 1811.01 , Temperature = 20.4446
Bag = 26 , Depth = 1348478 , Pressure = 1910.94 , Temperature = 20.7377
Bag = 27 , Depth = 1279162 , Pressure = 1812.71 , Temperature = 21.2262
Bag = 28 , Depth = 1276882 , Pressure = 1809.48 , Temperature = 21.2262
Bag = 29 , Depth = 1275695 , Pressure = 1807.8 , Temperature = 20.7377
Bag = 30 , Depth = 1270082 , Pressure = 1799.84 , Temperature = 20.5423
Bag = 31 , Depth = 1280976 , Pressure = 1815.28 , Temperature = 21.0308
Bag = 32 , Depth = 1282524 , Pressure = 1817.47 , Temperature = 21.1285
Bag = 33 , Depth = 1274090 , Pressure = 1805.52 , Temperature = 23.8642
Bag = 34 , Depth = 1275391 , Pressure = 1807.36 , Temperature = 20.8354
Bag = 35 , Depth = 1291443 , Pressure = 1830.11 , Temperature = 19.6629
Bag = 36 , Depth = 1285250 , Pressure = 1821.34 , Temperature = 19.7606
Bag = 37 , Depth = 1289163 , Pressure = 1826.88 , Temperature = 20.64
Bag = 38 , Depth = 1284917 , Pressure = 1820.86 , Temperature = 21.1285
Bag = 39 , Depth = 1287197 , Pressure = 1824.09 , Temperature = 20.7377
Bag = 40 , Depth = 1286988 , Pressure = 1823.8 , Temperature = 20.4446
Bag = 41 , Depth = 1289495 , Pressure = 1827.35 , Temperature = 20.3468
Bag = 42 , Depth = 1274888 , Pressure = 1806.65 , Temperature = 20.1514
Bag = 43 , Depth = 1277072 , Pressure = 1809.75 , Temperature = 20.7377
Bag = 44 , Depth = 1284822 , Pressure = 1820.73 , Temperature = 19.8583
Bag = 45 , Depth = 1284623 , Pressure = 1820.45 , Temperature = 19.7606
Bag = 46 , Depth = 1288603 , Pressure = 1826.09 , Temperature = 20.1514
Bag = 47 , Depth = 1283531 , Pressure = 1818.9 , Temperature = 20.1514
Bag = 48 , Depth = 1281603 , Pressure = 1816.17 , Temperature = 20.2491
Bag = 49 , Depth = 1271905 , Pressure = 1802.42 , Temperature = 19.0767
Bag = 50 , Depth = 1279447 , Pressure = 1813.11 , Temperature = 18.979
0417192851
Bag = 1 , Depth = 1273900 , Pressure = 1805.25 , Temperature = 18.4905
Bag = 2 , Depth = 1270851 , Pressure = 1800.93 , Temperature = 18.7836
Bag = 3 , Depth = 1287330 , Pressure = 1824.28 , Temperature = 20.8354
Bag = 4 , Depth = 1276265 , Pressure = 1808.6 , Temperature = 20.9331
Bag = 5 , Depth = 1285763 , Pressure = 1822.06 , Temperature = 20.5423
Bag = 6 , Depth = 1274660 , Pressure = 1806.33 , Temperature = 20.8354
Bag = 7 , Depth = 1284433 , Pressure = 1820.18 , Temperature = 20.4446
Bag = 8 , Depth = 1280852 , Pressure = 1815.1 , Temperature = 20.9331
Bag = 9 , Depth = 1284376 , Pressure = 1820.1 , Temperature = 24.3527
Bag = 10 , Depth = 1284215 , Pressure = 1819.87 , Temperature = 20.64
Bag = 11 , Depth = 1278155 , Pressure = 1811.28 , Temperature = 20.4446
Bag = 12 , Depth = 1282856 , Pressure = 1817.94 , Temperature = 20.1514
Bag = 13 , Depth = 1278981 , Pressure = 1812.45 , Temperature = 20.7377
Bag = 14 , Depth = 1287187 , Pressure = 1824.08 , Temperature = 20.3468
Bag = 15 , Depth = 1278972 , Pressure = 1812.44 , Temperature = 20.2491
Bag = 16 , Depth = 1285050 , Pressure = 1821.05 , Temperature = 20.4446
Bag = 17 , Depth = 1283151 , Pressure = 1818.36 , Temperature = 20.3468
Bag = 18 , Depth = 1291652 , Pressure = 1830.41 , Temperature = 21.1285
Bag = 19 , Depth = 1272817 , Pressure = 1803.72 , Temperature = 21.0308
Bag = 20 , Depth = 1287767 , Pressure = 1824.9 , Temperature = 21.3385
Bag = 21 , Depth = 1285411 , Pressure = 1821.56 , Temperature = 21.1285
Bag = 22 , Depth = 1282856 , Pressure = 1817.94 , Temperature = 20.4446
Bag = 23 , Depth = 1277917 , Pressure = 1810.94 , Temperature = 20.64
Bag = 24 , Depth = 1299050 , Pressure = 1840.89 , Temperature = 21.7147
Bag = 25 , Depth = 1279504 , Pressure = 1813.19 , Temperature = 20.4446
Bag = 26 , Depth = 1348450 , Pressure = 1910.9 , Temperature = 20.7377
Bag = 27 , Depth = 1276056 , Pressure = 1808.31 , Temperature = 21.2262
Bag = 28 , Depth = 1276626 , Pressure = 1809.11 , Temperature = 21.2262
Bag = 29 , Depth = 1274926 , Pressure = 1806.71 , Temperature = 20.7377
Bag = 30 , Depth = 1268343 , Pressure = 1797.38 , Temperature = 20.5423
Bag = 31 , Depth = 1278212 , Pressure = 1811.36 , Temperature = 21.0308
Bag = 32 , Depth = 1283483 , Pressure = 1818.83 , Temperature = 21.1285
Bag = 33 , Depth = 1273871 , Pressure = 1805.21 , Temperature = 23.8642
Bag = 34 , Depth = 1277500 , Pressure = 1810.35 , Temperature = 20.8354
Bag = 35 , Depth = 1291015 , Pressure = 1829.51 , Temperature = 19.6629
Bag = 36 , Depth = 1286646 , Pressure = 1823.31 , Temperature = 19.7606
Bag = 37 , Depth = 1287814 , Pressure = 1824.97 , Temperature = 20.64
Bag = 38 , Depth = 1283920 , Pressure = 1819.45 , Temperature = 21.0747
Bag = 39 , Depth = 1288090 , Pressure = 1825.36 , Temperature = 20.7377
Bag = 40 , Depth = 1288869 , Pressure = 1826.46 , Temperature = 20.4446
Bag = 41 , Depth = 1288726 , Pressure = 1826.26 , Temperature = 20.3468
Bag = 42 , Depth = 1274375 , Pressure = 1805.92 , Temperature = 20.1514
Bag = 43 , Depth = 1277500 , Pressure = 1810.35 , Temperature = 20.7377
Bag = 44 , Depth = 1284794 , Pressure = 1820.69 , Temperature = 19.8583
Bag = 45 , Depth = 1284860 , Pressure = 1820.78 , Temperature = 19.7606
Bag = 46 , Depth = 1289657 , Pressure = 1827.58 , Temperature = 20.1514
Bag = 47 , Depth = 1282106 , Pressure = 1816.88 , Temperature = 20.1514
