0418161440
Bag = 1 , Depth = 1841 , Pressure = 2.60916 , Temperature = 18.979
Bag = 2 , Depth = 1838 , Pressure = 2.60586 , Temperature = 19.1744
Bag = 3 , Depth = 1862 , Pressure = 2.63958 , Temperature = 21.2262
Bag = 4 , Depth = 1843 , Pressure = 2.61181 , Temperature = 21.4216
Bag = 5 , Depth = 1853 , Pressure = 2.62692 , Temperature = 20.7377
Bag = 6 , Depth = 1842 , Pressure = 2.61168 , Temperature = 21.1285
Bag = 7 , Depth = 1855 , Pressure = 2.62959 , Temperature = 20.9331
Bag = 8 , Depth = 1844 , Pressure = 2.61393 , Temperature = 21.4216
Bag = 9 , Depth = 1854 , Pressure = 2.62846 , Temperature = 24.3527
Bag = 10 , Depth = 1855 , Pressure = 2.62915 , Temperature = 20.9331
Bag = 11 , Depth = 1846 , Pressure = 2.6166 , Temperature = 20.9282
Bag = 12 , Depth = 1849 , Pressure = 2.62146 , Temperature = 20.64
Bag = 13 , Depth = 1846 , Pressure = 2.61685 , Temperature = 20.9331
Bag = 14 , Depth = 1830 , Pressure = 2.59388 , Temperature = 20.5032
Bag = 15 , Depth = 1843 , Pressure = 2.61301 , Temperature = 20.7377
Bag = 16 , Depth = 1846 , Pressure = 2.61662 , Temperature = 20.9331
Bag = 17 , Depth = 1848 , Pressure = 2.61944 , Temperature = 20.3468
Bag = 18 , Depth = 1834 , Pressure = 2.59977 , Temperature = 21.1285
Bag = 19 , Depth = 1836 , Pressure = 2.60243 , Temperature = 21.3239
Bag = 20 , Depth = 1852 , Pressure = 2.62469 , Temperature = 21.8124
Bag = 21 , Depth = 1859 , Pressure = 2.63441 , Temperature = 21.0308
Bag = 22 , Depth = 1843 , Pressure = 2.61242 , Temperature = 20.64
Bag = 23 , Depth = 1837 , Pressure = 2.60431 , Temperature = 20.8354
Bag = 24 , Depth = 1847 , Pressure = 2.61744 , Temperature = 22.2032
Bag = 25 , Depth = 1836 , Pressure = 2.6025 , Temperature = 20.8354
Bag = 26 , Depth = 1914 , Pressure = 2.71246 , Temperature = 21.2262
Bag = 27 , Depth = 1847 , Pressure = 2.61751 , Temperature = 21.7147
Bag = 28 , Depth = 1844 , Pressure = 2.61402 , Temperature = 21.617
Bag = 29 , Depth = 1838 , Pressure = 2.60592 , Temperature = 21.1285
Bag = 30 , Depth = 1862 , Pressure = 2.6389 , Temperature = 21.0308
Bag = 31 , Depth = 1843 , Pressure = 2.61288 , Temperature = 21.5193
Bag = 32 , Depth = 1856 , Pressure = 2.63069 , Temperature = 21.617
Bag = 33 , Depth = 1840 , Pressure = 2.60748 , Temperature = 24.0596
Bag = 34 , Depth = 1845 , Pressure = 2.61574 , Temperature = 21.2262
Bag = 35 , Depth = 1856 , Pressure = 2.63115 , Temperature = 20.2491
Bag = 36 , Depth = 1855 , Pressure = 2.62917 , Temperature = 20.2491
Bag = 37 , Depth = 1833 , Pressure = 2.59836 , Temperature = 21.0308
Bag = 38 , Depth = 1855 , Pressure = 2.6297 , Temperature = 21.5193
Bag = 39 , Depth = 1850 , Pressure = 2.62289 , Temperature = 21.1773
Bag = 40 , Depth = 1835 , Pressure = 2.60122 , Temperature = 20.9331
Bag = 41 , Depth = 1835 , Pressure = 2.60073 , Temperature = 20.8354
Bag = 42 , Depth = 1840 , Pressure = 2.60821 , Temperature = 20.64
Bag = 43 , Depth = 1839 , Pressure = 2.60655 , Temperature = 21.2262
Bag = 44 , Depth = 1848 , Pressure = 2.61984 , Temperature = 20.4446
Bag = 45 , Depth = 1829 , Pressure = 2.59329 , Temperature = 20.2491
Bag = 46 , Depth = 1820 , Pressure = 2.57946 , Temperature = 20.64
