1017140435
Bag = 1 , Depth = -15 , Pressure = -0.0224117 , Temperature = 21.4216
Bag = 2 , Depth = -20 , Pressure = -0.0293355 , Temperature = 21.5193
Bag = 3 , Depth = -23 , Pressure = -0.0329976 , Temperature = 22.2032
Bag = 4 , Depth = -26 , Pressure = -0.0375563 , Temperature = 22.3986
Bag = 5 , Depth = -26 , Pressure = -0.0369268 , Temperature = 22.0078
Bag = 6 , Depth = -24 , Pressure = -0.0352102 , Temperature = 22.2032
Bag = 7 , Depth = -13 , Pressure = -0.0194934 , Temperature = 21.8124
Bag = 8 , Depth = -21 , Pressure = -0.0297742 , Temperature = 22.3009
Bag = 9 , Depth = -3 , Pressure = -0.00463493 , Temperature = 24.9389
Bag = 10 , Depth = -24 , Pressure = -0.0347524 , Temperature = 22.0078
Bag = 11 , Depth = -25 , Pressure = -0.0364691 , Temperature = 21.617
Bag = 12 , Depth = -22 , Pressure = -0.0325017 , Temperature = 21.4216
Bag = 13 , Depth = -26 , Pressure = -0.0381476 , Temperature = 22.2032
Bag = 14 , Depth = -33 , Pressure = -0.0470932 , Temperature = 21.617
Bag = 15 , Depth = -38 , Pressure = -0.0541314 , Temperature = 21.4216
Bag = 16 , Depth = -33 , Pressure = -0.0469978 , Temperature = 21.4216
Bag = 17 , Depth = -15 , Pressure = -0.0225834 , Temperature = 21.8124
Bag = 18 , Depth = -21 , Pressure = -0.0311475 , Temperature = 22.3009
Bag = 19 , Depth = -26 , Pressure = -0.0370603 , Temperature = 21.8124
Bag = 20 , Depth = -17 , Pressure = -0.0248531 , Temperature = 22.0078
Bag = 21 , Depth = -12 , Pressure = -0.0177195 , Temperature = 22.3986
Bag = 22 , Depth = -26 , Pressure = -0.037995 , Temperature = 21.4216
Bag = 23 , Depth = -45 , Pressure = -0.0649653 , Temperature = 21.4216
Bag = 24 , Depth = -23 , Pressure = -0.0326734 , Temperature = 22.3986
Bag = 25 , Depth = -23 , Pressure = -0.0333791 , Temperature = 21.9101
Bag = 26 , Depth = -14 , Pressure = -0.0201038 , Temperature = 22.0078
Bag = 27 , Depth = -18 , Pressure = -0.0263218 , Temperature = 22.2032
Bag = 28 , Depth = -7 , Pressure = -0.0111391 , Temperature = 22.2032
Bag = 29 , Depth = -24 , Pressure = -0.0353246 , Temperature = 22.1055
Bag = 30 , Depth = -23 , Pressure = -0.0329404 , Temperature = 21.7147
Bag = 31 , Depth = -25 , Pressure = -0.0362783 , Temperature = 21.7147
Bag = 32 , Depth = -10 , Pressure = -0.0148394 , Temperature = 22.0078
Bag = 33 , Depth = -9 , Pressure = -0.0141146 , Temperature = 24.4504
Bag = 34 , Depth = -15 , Pressure = -0.0215915 , Temperature = 22.2032
Bag = 35 , Depth = -24 , Pressure = -0.0352102 , Temperature = 22.1055
Bag = 36 , Depth = -35 , Pressure = -0.0501068 , Temperature = 21.2262
Bag = 37 , Depth = -10 , Pressure = -0.0153162 , Temperature = 22.1055
Bag = 38 , Depth = -19 , Pressure = -0.0272374 , Temperature = 22.3986
Bag = 39 , Depth = -18 , Pressure = -0.026627 , Temperature = 22.0078
Bag = 40 , Depth = -24 , Pressure = -0.0342565 , Temperature = 21.7147
Bag = 41 , Depth = -20 , Pressure = -0.0284581 , Temperature = 21.9101
Bag = 42 , Depth = -17 , Pressure = -0.0241855 , Temperature = 21.617
Bag = 43 , Depth = -35 , Pressure = -0.0502022 , Temperature = 22.3009
Bag = 44 , Depth = -29 , Pressure = -0.0418669 , Temperature = 21.5193
Bag = 45 , Depth = -31 , Pressure = -0.0440795 , Temperature = 21.2262
Bag = 46 , Depth = -21 , Pressure = -0.0311284 , Temperature = 21.617
Bag = 47 , Depth = -22 , Pressure = -0.0324063 , Temperature = 21.7147
Bag = 48 , Depth = -22 , Pressure = -0.0323491 , Temperature = 21.9101
Bag = 49 , Depth = -22 , Pressure = -0.0321202 , Temperature = 21.617
Bag = 50 , Depth = -22 , Pressure = -0.0320439 , Temperature = 21.617
1017140442
Bag = 1 , Depth = -18 , Pressure = -0.0263218 , Temperature = 21.4216
Bag = 2 , Depth = -23 , Pressure = -0.0331121 , Temperature = 21.5193
Bag = 3 , Depth = -23 , Pressure = -0.0332837 , Temperature = 22.2032
Bag = 4 , Depth = -25 , Pressure = -0.0367361 , Temperature = 22.3986
Bag = 5 , Depth = -25 , Pressure = -0.0366979 , Temperature = 22.0078
Bag = 6 , Depth = -24 , Pressure = -0.0343519 , Temperature = 22.2032
Bag = 7 , Depth = -19 , Pressure = -0.0269894 , Temperature = 21.8124
Bag = 8 , Depth = -20 , Pressure = -0.0285725 , Temperature = 22.3009
Bag = 9 , Depth = -1 , Pressure = -0.00259403 , Temperature = 24.9389
Bag = 10 , Depth = -25 , Pressure = -0.0357824 , Temperature = 22.0078
Bag = 11 , Depth = -25 , Pressure = -0.0364881 , Temperature = 21.617
Bag = 12 , Depth = -22 , Pressure = -0.0317769 , Temperature = 21.4216
