0418162439
Bag = 1 , Depth = 1835 , Pressure = 2.6005 , Temperature = 18.979
Bag = 2 , Depth = 1838 , Pressure = 2.60466 , Temperature = 19.1744
Bag = 3 , Depth = 1863 , Pressure = 2.64136 , Temperature = 21.3239
Bag = 4 , Depth = 1841 , Pressure = 2.61025 , Temperature = 21.4216
Bag = 5 , Depth = 1850 , Pressure = 2.62228 , Temperature = 20.7377
Bag = 6 , Depth = 1841 , Pressure = 2.6103 , Temperature = 21.1285
Bag = 7 , Depth = 1852 , Pressure = 2.62547 , Temperature = 20.9331
Bag = 8 , Depth = 1847 , Pressure = 2.61828 , Temperature = 21.5193
Bag = 9 , Depth = 1854 , Pressure = 2.62755 , Temperature = 24.3527
Bag = 10 , Depth = 1851 , Pressure = 2.62371 , Temperature = 20.9331
Bag = 11 , Depth = 1845 , Pressure = 2.61534 , Temperature = 20.9331
Bag = 12 , Depth = 1851 , Pressure = 2.62333 , Temperature = 20.7377
Bag = 13 , Depth = 1849 , Pressure = 2.62108 , Temperature = 20.8354
Bag = 14 , Depth = 1831 , Pressure = 2.59554 , Temperature = 20.4446
Bag = 15 , Depth = 1847 , Pressure = 2.61784 , Temperature = 20.7377
Bag = 16 , Depth = 1848 , Pressure = 2.61971 , Temperature = 21.0308
Bag = 17 , Depth = 1850 , Pressure = 2.62184 , Temperature = 20.2491
Bag = 18 , Depth = 1836 , Pressure = 2.60246 , Temperature = 21.0308
Bag = 19 , Depth = 1834 , Pressure = 2.60008 , Temperature = 21.2262
Bag = 20 , Depth = 1855 , Pressure = 2.62909 , Temperature = 21.8124
Bag = 21 , Depth = 1857 , Pressure = 2.63226 , Temperature = 20.9331
Bag = 22 , Depth = 1846 , Pressure = 2.61599 , Temperature = 20.64
Bag = 23 , Depth = 1840 , Pressure = 2.60822 , Temperature = 20.7377
Bag = 24 , Depth = 1846 , Pressure = 2.61641 , Temperature = 22.1055
Bag = 25 , Depth = 1838 , Pressure = 2.60496 , Temperature = 20.8354
Bag = 26 , Depth = 1913 , Pressure = 2.71229 , Temperature = 21.2262
Bag = 27 , Depth = 1845 , Pressure = 2.61494 , Temperature = 21.7147
Bag = 28 , Depth = 1845 , Pressure = 2.61465 , Temperature = 21.7147
Bag = 29 , Depth = 1839 , Pressure = 2.60733 , Temperature = 21.1285
Bag = 30 , Depth = 1859 , Pressure = 2.63483 , Temperature = 21.0308
Bag = 31 , Depth = 1848 , Pressure = 2.61952 , Temperature = 21.4949
Bag = 32 , Depth = 1855 , Pressure = 2.63001 , Temperature = 21.617
Bag = 33 , Depth = 1839 , Pressure = 2.60678 , Temperature = 24.0596
Bag = 34 , Depth = 1845 , Pressure = 2.61534 , Temperature = 21.2262
Bag = 35 , Depth = 1856 , Pressure = 2.63144 , Temperature = 20.2491
Bag = 36 , Depth = 1857 , Pressure = 2.6318 , Temperature = 20.3468
Bag = 37 , Depth = 1834 , Pressure = 2.59922 , Temperature = 21.0308
Bag = 38 , Depth = 1853 , Pressure = 2.62655 , Temperature = 21.5193
Bag = 39 , Depth = 1847 , Pressure = 2.61877 , Temperature = 21.2262
Bag = 40 , Depth = 1830 , Pressure = 2.59442 , Temperature = 20.9331
Bag = 41 , Depth = 1834 , Pressure = 2.59947 , Temperature = 20.8354
Bag = 42 , Depth = 1839 , Pressure = 2.60624 , Temperature = 20.64
Bag = 43 , Depth = 1837 , Pressure = 2.6042 , Temperature = 21.2262
Bag = 44 , Depth = 1848 , Pressure = 2.61976 , Temperature = 20.4446
Bag = 45 , Depth = 1833 , Pressure = 2.5977 , Temperature = 20.2491
Bag = 46 , Depth = 1818 , Pressure = 2.57746 , Temperature = 20.64
Bag = 47 , Depth = 1848 , Pressure = 2.61944 , Temperature = 20.7377
Bag = 48 , Depth = 1844 , Pressure = 2.61355 , Temperature = 20.9331
Bag = 49 , Depth = 1835 , Pressure = 2.6005 , Temperature = 19.5652
Bag = 50 , Depth = 1848 , Pressure = 2.62015 , Temperature = 19.3942
